product_name,current_price,price,percent_discount,rating,link,brand_id,series,genre_name
Asus Vivobook 14X OLED K3405VC i5 13500H (KM006W),24.690.000₫,29.490.000₫,-16%,,https://www.thegioididong.com/laptop/asus-vivobook-14x-oled-k3405vc-i5-km006w,02,VivoBook,laptop
Asus Vivobook 14 X1402ZA i3 1220P (EK249W),9.690.000₫,13.990.000₫,-30%,27,https://www.thegioididong.com/laptop/asus-vivobook-14-x1402za-i3-ek249w,02,VivoBook,laptop
Asus Vivobook S 14 Flip TP3402VA i9 13900H (LZ118W),23.690.000₫,26.490.000₫,-10%,,https://www.thegioididong.com/laptop/asus-vivobook-s-14-flip-tp3402va-i9-lz118w,02,VivoBook,laptop
Asus Vivobook 14X OLED S3405VA i9 13900H (KM071W),23.190.000₫,26.990.000₫,-14%,,https://www.thegioididong.com/laptop/asus-vivobook-14x-oled-s3405va-i9-km071w,02,VivoBook,laptop
Asus Vivobook 15 OLED A1505VA i9 13900H (L1201W),22.690.000₫,24.990.000₫,-9%,,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i9-l1201w,02,VivoBook,laptop
Asus Vivobook 15 OLED A1505VA i7 13700H (L1338W),21.190.000₫,24.490.000₫,-13%,,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i7-l1338w,02,VivoBook,laptop
Asus Vivobook 14X OLED S3405VA i5 13500H (KM072W),19.690.000₫,22.990.000₫,,,https://www.thegioididong.com/laptop/asus-vivobook-14x-oled-s3405va-i5-km072w,02,VivoBook,laptop
Asus Vivobook 15X OLED S3504VA i5 1340P (L1226W),18.690.000₫,21.990.000₫,-15%,,https://www.thegioididong.com/laptop/asus-vivobook-15x-oled-s3504va-i5-l1226w,02,VivoBook,laptop
Asus Vivobook 15 OLED A1505ZA i5 12500H (L1337W),16.690.000₫,19.990.000₫,-16%,,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505za-i5-l1337w,02,VivoBook,laptop
Asus Vivobook S 14 Flip TP3402VA i3 1315U (LZ025W),13.690.000₫,16.990.000₫,-19%,,https://www.thegioididong.com/laptop/asus-vivobook-s-14-flip-tp3402va-i3-lz025w,02,VivoBook,laptop
Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W),13.190.000₫,14.490.000₫,-8%,,https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj776w,02,VivoBook,laptop
Asus Vivobook 14 A1405VA i3 1315U (LY097W),12.390.000₫,14.990.000₫,,,https://www.thegioididong.com/laptop/asus-vivobook-14-a1405va-i3-ly097w,02,VivoBook,laptop
Asus Zenbook 14 OLED UX3402ZA i5 1240P (KM220W),20.690.000₫,26.990.000₫,-23%,27,https://www.thegioididong.com/laptop/asus-zenbook-14-oled-ux3402za-i5-km218w,02,ZenBook,laptop
Asus Zenbook 14 Flip OLED UP3404VA i7 1360P (KN039W),30.690.000₫,33.990.000₫,-9%,8,https://www.thegioididong.com/laptop/asus-zenbook-14-flip-oled-up3404va-i7-kn039w,02,ZenBook,laptop
Asus Zenbook S 13 OLED UX5304VA i7 1355U (NQ126W),41.190.000₫,49.990.000₫,-17%,,https://www.thegioididong.com/laptop/asus-zenbook-s-13-oled-ux5304va-i7-nq126w,02,ZenBook,laptop
Asus Zenbook S 13 OLED UX5304VA i7 1355U (NQ125W),35.690.000₫,39.990.000₫,-10%,,https://www.thegioididong.com/laptop/asus-zenbook-s-13-oled-ux5304va-i7-nq125w,02,ZenBook,laptop
Asus Zenbook 14 OLED UX3402VA i7 1360P (KM068W),28.690.000₫,31.990.000₫,,,https://www.thegioididong.com/laptop/asus-zenbook-14-oled-ux3402va-i7-km068w,02,ZenBook,laptop
Asus Zenbook 14 Flip OLED UP3404VA i5 1340P (KN038W),26.190.000₫,29.990.000₫,-12%,4,https://www.thegioididong.com/laptop/asus-zenbook-14-flip-oled-up3404va-i5-kn038w,02,ZenBook,laptop
Asus Zenbook 14 OLED UX3402ZA i7 1260P (KM221W),25.690.000₫,31.990.000₫,-19%,17,https://www.thegioididong.com/laptop/asus-zenbook-14-oled-ux3402za-i7-km221w,02,ZenBook,laptop
Asus Zenbook 14 OLED UX3402VA i5 1340P (KM085W),24.890.000₫,27.990.000₫,-11%,6,https://www.thegioididong.com/laptop/asus-zenbook-14-oled-ux3402va-i5-km085w,02,ZenBook,laptop
Asus TUF Gaming F15 FX506HF i5 11400H (HN014W),16.690.000₫,20.990.000₫,-20%,8,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx506hf-i5-hn014w,02,TUF Gaming,laptop
Asus TUF Gaming F15 FX506HC i5 11400H (HN949W),19.690.000₫,23.990.000₫,-17%,18,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx506hc-i5-hn949w,02,TUF Gaming,laptop
Asus TUF Gaming F15 FX507ZE i7 12700H (HN093W),23.190.000₫,28.990.000₫,-20%,14,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx507z-i7-hn093w,02,TUF Gaming,laptop
Asus Gaming TUF Dash F15 FX517ZE i5 12450H (HN045W),20.190.000₫,24.990.000₫,-19%,27,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx517ze-i5-hn045w,02,TUF Gaming,laptop
Asus TUF Gaming F15 FX507ZC4 i5 12500H (HN074W),19.690.000₫,25.990.000₫,,,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx507zc4-i5-hn074w,02,TUF Gaming,laptop
